Title,Year_of_Release,Duration,Genre,Points_Rating,Meta_score,Director,Actors,Votes,Gross
Braveheart - Cuore impavido,1995,178 min,"
Biography, Drama, History            ",T,68        ,"
Mel Gibson
","['', 'Mel Gibson ', 'Sophie Marceau ', 'Patrick McGoohan ', 'Angus Macfadyen', '']","
966,003
","
$75.60M
"
21 grammi,2003,124 min,"
Crime, Drama, Thriller            ",T,70        ,"
Alejandro G. Iñárritu
","['', 'Sean Penn ', 'Benicio Del Toro ', 'Naomi Watts ', 'Danny Huston', '']","
225,714
","
$16.29M
"
Seven,1995,127 min,"
Crime, Drama, Mystery            ",T,65        ,"
David Fincher
","['', 'Morgan Freeman ', 'Brad Pitt ', 'Kevin Spacey ', 'Andrew Kevin Walker', '']","
1,461,263
","
$100.13M
"
La caduta - Gli ultimi giorni di Hitler,2004,156 min,"
Biography, Drama, History            ",T,82        ,"
Oliver Hirschbiegel
","['', 'Bruno Ganz ', 'Alexandra Maria Lara ', 'Ulrich Matthes ', 'Juliane Köhler', '']","
333,762
","
$5.51M
"
Mystic River,2003,138 min,"
Crime, Drama, Mystery            ",T,84        ,"
Clint Eastwood
","['', 'Sean Penn ', 'Tim Robbins ', 'Kevin Bacon ', 'Emmy Rossum', '']","
422,318
","
$90.14M
"
C'era una volta in America,1984,229 min,"
Crime, Drama            ",T,,,,,
Il dottor Zivago,1965,197 min,"
Drama, Romance, War            ",T,69        ,"
David Lean
","['', 'Omar Sharif ', 'Julie Christie ', 'Geraldine Chaplin ', 'Rod Steiger', '']","
70,485
","
$111.72M
"
Taxi Driver,1976,114 min,"
Crime, Drama            ",VM14,94        ,"
Martin Scorsese
","['', 'Robert De Niro ', 'Jodie Foster ', 'Cybill Shepherd ', 'Albert Brooks', '']","
733,076
","
$28.26M
"
Serpico,1973,130 min,"
Biography, Crime, Drama            ",T,87        ,"
Sidney Lumet
","['', 'Al Pacino ', 'John Randolph ', 'Jack Kehoe ', 'Biff McGuire', '']","
111,089
","
$29.80M
"
Una separazione,2011,123 min,"
Drama            ",T,95        ,"
Asghar Farhadi
","['', 'Payman Maadi ', 'Leila Hatami ', 'Sareh Bayat ', 'Shahab Hosseini', '']","
222,417
","
$7.10M
"
Lo squalo,1975,124 min,"
Adventure, Thriller            ",T,87        ,"
Steven Spielberg
","['', 'Roy Scheider ', 'Robert Shaw ', 'Richard Dreyfuss ', 'Lorraine Gary', '']","
546,271
","
$260.00M
"
The Prestige,2006,130 min,"
Drama, Mystery, Sci-Fi            ",T,66        ,"
Christopher Nolan
","['', 'Christian Bale ', 'Hugh Jackman ', 'Scarlett Johansson ', 'Michael Caine', '']","
1,202,754
","
$53.09M
"
Grand Budapest Hotel,2014,99 min,"
Adventure, Comedy, Crime            ",T,88        ,"
Wes Anderson
","['', 'Ralph Fiennes ', 'F. Murray Abraham ', 'Mathieu Amalric ', 'Adrien Brody', '']","
717,296
","
$59.10M
"
Quei bravi ragazzi,1990,146 min,"
Biography, Crime, Drama            ",VM14,90        ,"
Martin Scorsese
","['', 'Robert De Niro ', 'Ray Liotta ', 'Joe Pesci ', 'Lorraine Bracco', '']","
1,031,950
","
$46.84M
"
Carlito's Way,1993,144 min,"
Crime, Drama, Thriller            ",T,65        ,"
Brian De Palma
","['', 'Al Pacino ', 'Sean Penn ', 'Penelope Ann Miller ', 'John Leguizamo', '']","
202,563
","
$36.95M
"
Il ponte sul fiume Kwai,1957,161 min,"
Adventure, Drama, War            ",T,87        ,"
David Lean
","['', 'William Holden ', 'Alec Guinness ', 'Jack Hawkins ', 'Sessue Hayakawa', '']","
205,048
","
$44.91M
"
